datetime,outlier,storm_area,storm_centroid_x,storm_centroid_y,storm_id
2025-10-07 13:05:00,False,4.51613,1.70946,103.706,10_20251007
2025-10-08 16:25:00,False,1.50538,1.83558,103.974,10_20251008
2025-10-09 17:20:00,False,11.2903,1.33108,103.276,10_20251009
2025-10-11 16:50:00,False,2.63441,1.34159,103.486,10_20251011
2025-10-11 16:55:00,False,4.51613,1.33108,103.439,10_20251011
2025-10-12 16:45:00,False,27.0968,0.847596,103.404,10_20251012
2025-10-14 00:55:00,False,15.0538,0.900148,103.672,10_20251013
2025-10-14 19:45:00,False,1.12903,0.879127,104.392,10_20251014
2025-10-14 19:55:00,False,0.752688,0.889638,104.387,10_20251014
2025-10-14 20:05:00,False,1.50538,0.837085,104.288,10_20251014
2025-10-14 20:15:00,False,2.63441,0.837085,104.218,10_20251014
2025-10-14 20:25:00,False,1.88172,0.753001,104.038,10_20251014
2025-10-15 10:40:00,False,24.086,1.90916,103.869,10_20251015
2025-10-15 10:45:00,False,18.4409,1.90916,103.863,10_20251015
2025-10-16 21:15:00,False,17.3118,0.784532,103.956,10_20251016
2025-10-16 21:20:00,False,21.4516,0.816064,103.927,10_20251016
2025-10-17 20:25:00,False,9.03226,1.09985,104.108,10_20251017
2025-10-17 20:30:00,False,8.65591,1.08934,104.096,10_20251017
2025-10-18 12:10:00,False,5.26882,1.96171,103.276,10_20251018
2025-10-19 13:50:00,False,215.645,1.68844,103.241,10_20251019
2025-10-20 12:10:00,False,5.26882,1.96171,103.456,10_20251020
2025-10-22 10:20:00,False,8.65591,0.973722,103.34,10_20251022
2025-10-24 16:10:00,False,84.6774,1.64639,103.422,10_20251024
2025-10-27 11:20:00,False,0.752688,1.26802,103.288,10_20251027
2025-10-27 11:30:00,False,0.752688,1.42567,103.288,10_20251027
2025-10-28 18:45:00,False,16.1828,1.53078,103.829,10_20251028
2025-10-28 18:50:00,False,16.5591,1.53078,103.863,10_20251028
2025-10-29 13:55:00,False,7.90323,1.70946,103.863,10_20251029
2025-08-02 14:45:00,False,26.7204,1.91967,104.166,100_20250802
2025-08-03 18:45:00,False,514.839,1.01576,103.631,100_20250803
2025-08-04 15:35:00,False,17.3118,0.795043,104.294,100_20250804
2025-08-05 08:45:00,False,97.8495,1.11036,103.218,100_20250805
2025-08-05 08:50:00,False,84.6774,1.08934,103.212,100_20250805
2025-08-10 21:40:00,False,370.699,0.889638,103.91,100_20250810
2025-08-11 16:10:00,False,30.4839,1.63588,103.427,100_20250811
2025-08-13 09:35:00,False,2.63441,1.96171,103.84,100_20250813
2025-08-13 09:40:00,False,4.13978,1.93018,103.782,100_20250813
2025-08-13 09:45:00,False,4.89247,1.9512,103.689,100_20250813
2025-08-13 09:50:00,False,3.3871,1.94069,103.538,100_20250813
2025-08-13 10:00:00,False,0.752688,1.91967,103.317,100_20250813
2025-08-15 14:15:00,False,37.6344,0.837085,104.265,100_20250815
2025-08-18 03:45:00,False,73.7634,1.45721,103.666,100_20250817
2025-08-18 20:25:00,False,19.5699,0.847596,103.852,100_20250818
2025-08-19 22:20:00,False,1287.1,1.07883,103.358,100_20250819
2025-08-23 15:15:00,False,6.77419,1.91967,104.119,100_20250823
2025-08-23 15:20:00,False,1.12903,1.93018,104.084,100_20250823
2025-08-23 15:25:00,False,4.51613,1.90916,104.119,100_20250823
2025-08-24 15:35:00,False,1.12903,1.01576,103.468,100_20250824
2025-08-24 15:45:00,False,1.50538,1.05781,103.439,100_20250824
2025-08-24 15:50:00,False,1.12903,0.900148,103.398,100_20250824
2025-08-28 23:00:00,False,51.9355,1.56231,104.265,100_20250828
2025-08-30 10:30:00,False,1584.41,1.5518,103.799,100_20250830
2025-09-01 15:50:00,False,11.2903,1.50976,103.747,100_20250901
2025-09-01 16:00:00,False,7.90323,1.43618,103.799,100_20250901
2025-09-01 16:10:00,False,2.63441,1.50976,103.863,100_20250901
2025-09-01 16:15:00,False,0.752688,1.54129,103.898,100_20250901
2025-09-02 15:45:00,False,572.796,1.77252,104.113,100_20250902
2025-09-04 18:05:00,False,2.63441,1.27853,103.84,100_20250904
2025-09-05 16:55:00,False,72.6344,1.14189,104.183,100_20250905
2025-09-07 14:20:00,False,637.527,0.963211,103.317,100_20250907
2025-09-09 17:50:00,False,120.43,1.13138,103.858,100_20250909
2025-09-11 20:45:00,False,67.3656,1.59384,103.765,100_20250911
2025-09-13 16:55:00,False,24.8387,1.80405,104.044,100_20250913
2025-09-15 17:45:00,False,260.43,1.87763,103.939,100_20250915
2025-09-17 11:50:00,False,2.63441,0.795043,103.765,100_20250917
2025-09-19 22:50:00,False,9.03226,0.900148,103.433,100_20250919
2025-09-19 22:55:00,False,7.90323,0.973722,103.433,100_20250919
2025-09-28 03:25:00,False,14.6774,1.37312,103.561,100_20250927
2025-09-28 03:35:00,False,0.752688,1.33108,103.584,100_20250927
2025-09-28 19:30:00,False,38.7634,1.13138,103.974,100_20250928
2025-10-01 22:05:00,False,37.2581,0.774022,104.288,100_20251001
2025-10-01 22:10:00,False,37.2581,0.784532,104.27,100_20251001
2025-10-03 03:30:00,False,13.9247,1.47823,104.172,100_20251002
2025-10-03 17:00:00,False,456.882,1.28904,103.672,100_20251003
2025-10-04 10:20:00,False,1.88172,1.0473,103.962,100_20251004
2025-10-04 10:30:00,False,2.25806,1.02627,103.991,100_20251004
2025-10-06 20:20:00,False,4.51613,0.774022,103.985,100_20251006
2025-10-07 14:45:00,False,19.5699,0.763511,104.119,100_20251007
2025-10-07 14:55:00,False,13.5484,0.784532,104.148,100_20251007
2025-10-09 18:05:00,False,184.409,1.32057,103.799,100_20251009
2025-10-12 18:10:00,False,19.9462,1.25751,103.387,100_20251012
2025-10-12 18:15:00,False,24.4624,1.21546,103.369,100_20251012
2025-10-15 02:15:00,False,27.4731,1.40465,103.608,100_20251014
2025-10-15 20:40:00,False,161.828,1.39414,103.253,100_20251015
2025-10-15 20:45:00,False,156.183,1.40465,103.27,100_20251015
2025-10-18 13:30:00,False,30.4839,1.12087,103.706,100_20251018
2025-10-18 13:35:00,False,32.7419,1.09985,103.701,100_20251018
2025-10-18 13:40:00,False,24.8387,1.06832,103.712,100_20251018
2025-10-18 13:45:00,False,9.4086,1.02627,103.735,100_20251018
2025-10-18 13:50:00,False,1.88172,1.01576,103.759,100_20251018
2025-10-19 14:40:00,False,666.882,1.50976,103.387,100_20251019
2025-10-20 22:10:00,False,3.76344,1.58333,103.724,100_20251020
2025-10-20 22:15:00,False,17.6882,1.61486,103.73,100_20251020
2025-10-22 10:45:00,False,18.8172,0.816064,103.939,100_20251022
2025-10-22 10:50:00,False,9.03226,0.858106,103.945,100_20251022
2025-10-22 10:55:00,False,5.26882,0.910659,103.922,100_20251022
2025-10-22 11:00:00,False,2.25806,1.00525,103.991,100_20251022
2025-10-22 11:05:00,False,2.25806,1.09985,103.927,100_20251022
2025-10-22 11:15:00,False,1.50538,1.20495,103.985,100_20251022
2025-10-22 11:20:00,False,3.3871,1.21546,103.962,100_20251022
2025-10-22 11:30:00,False,1.88172,1.45721,103.985,100_20251022
2025-10-25 06:20:00,False,12.043,0.763511,103.462,100_20251024
2025-10-25 06:30:00,False,5.26882,0.847596,103.427,100_20251024
2025-10-25 06:40:00,False,7.15054,0.93168,103.422,100_20251024
2025-10-27 12:55:00,False,1126.02,0.994743,104.218,100_20251027
2025-08-05 14:05:00,False,17.3118,0.774022,103.718,1000_20250805
2025-08-05 14:10:00,False,6.77419,0.795043,103.718,1000_20250805
2025-08-05 14:15:00,False,1.88172,0.795043,103.701,1000_20250805
2025-08-05 14:20:00,False,0.752688,0.73198,103.759,1000_20250805
2025-08-13 12:30:00,False,2.63441,1.5518,104.038,1000_20250813
2025-09-01 19:10:00,False,4.13978,0.984232,103.398,1000_20250901
2025-09-07 17:40:00,False,29.3548,1.74099,104.189,1000_20250907
2025-08-05 14:10:00,False,3.76344,1.67793,104.299,1001_20250805
2025-08-05 14:20:00,False,0.752688,1.61486,104.259,1001_20250805
2025-08-13 12:30:00,False,1.12903,1.54129,103.34,1001_20250813
2025-09-01 19:10:00,False,599.14,0.900148,103.334,1001_20250901
2025-09-07 17:40:00,False,10.914,1.61486,104.201,1001_20250907
2025-09-07 17:50:00,False,3.3871,1.45721,104.224,1001_20250907
2025-09-07 17:55:00,False,1.50538,1.41516,104.23,1001_20250907
2025-09-07 18:00:00,False,0.752688,1.31006,104.16,1001_20250907
2025-08-05 14:10:00,False,1.12903,1.58333,103.695,1002_20250805
2025-08-05 14:15:00,False,0.752688,1.69895,103.741,1002_20250805
2025-08-05 14:20:00,False,2.25806,1.77252,103.718,1002_20250805
2025-08-13 12:30:00,False,4.89247,1.53078,104.119,1002_20250813
2025-09-01 19:15:00,False,0.752688,1.96171,103.608,1002_20250901
2025-09-07 17:40:00,False,4.51613,1.57282,104.329,1002_20250907
2025-09-07 17:45:00,False,1.88172,1.53078,104.352,1002_20250907
2025-09-07 17:50:00,False,0.752688,1.45721,104.404,1002_20250907
