station_id,station_name,latitude,longitude,timestamp,wind direction
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T14:15:00+08:00,228
S60,Sentosa,1.25,103.8279,2025-10-17T14:15:00+08:00,182
S50,Clementi Road,1.3337,103.7768,2025-10-17T14:15:00+08:00,210
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T14:15:00+08:00,343
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T14:15:00+08:00,78
S06,Paya Lebar,1.3524,103.9007,2025-10-17T14:15:00+08:00,62
S111,Scotts Road,1.31055,103.8365,2025-10-17T14:15:00+08:00,201
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T14:15:00+08:00,262
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T14:30:00+08:00,177
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T14:30:00+08:00,101
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T14:30:00+08:00,194
S117,Banyan Road,1.256,103.679,2025-10-17T14:30:00+08:00,250
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T14:30:00+08:00,193
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T14:30:00+08:00,316
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T14:30:00+08:00,222
S60,Sentosa,1.25,103.8279,2025-10-17T14:30:00+08:00,186
S50,Clementi Road,1.3337,103.7768,2025-10-17T14:30:00+08:00,228
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T14:30:00+08:00,256
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T14:30:00+08:00,224
S06,Paya Lebar,1.3524,103.9007,2025-10-17T14:30:00+08:00,143
S111,Scotts Road,1.31055,103.8365,2025-10-17T14:30:00+08:00,107
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T14:30:00+08:00,249
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T14:45:00+08:00,184
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T14:45:00+08:00,151
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T14:45:00+08:00,193
S117,Banyan Road,1.256,103.679,2025-10-17T14:45:00+08:00,260
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T14:45:00+08:00,200
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T14:45:00+08:00,283
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T14:45:00+08:00,222
S60,Sentosa,1.25,103.8279,2025-10-17T14:45:00+08:00,185
S50,Clementi Road,1.3337,103.7768,2025-10-17T14:45:00+08:00,227
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T14:45:00+08:00,260
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T14:45:00+08:00,186
S06,Paya Lebar,1.3524,103.9007,2025-10-17T14:45:00+08:00,152
S111,Scotts Road,1.31055,103.8365,2025-10-17T14:45:00+08:00,146
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T14:45:00+08:00,228
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T15:00:00+08:00,352
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T15:00:00+08:00,162
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T15:00:00+08:00,186
S117,Banyan Road,1.256,103.679,2025-10-17T15:00:00+08:00,236
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T15:00:00+08:00,199
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T15:00:00+08:00,142
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T15:00:00+08:00,222
S60,Sentosa,1.25,103.8279,2025-10-17T15:00:00+08:00,195
S50,Clementi Road,1.3337,103.7768,2025-10-17T15:00:00+08:00,174
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T15:00:00+08:00,260
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T15:00:00+08:00,87
S06,Paya Lebar,1.3524,103.9007,2025-10-17T15:00:00+08:00,166
S111,Scotts Road,1.31055,103.8365,2025-10-17T15:00:00+08:00,192
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T15:00:00+08:00,215
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T15:15:00+08:00,14
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T15:15:00+08:00,160
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T15:15:00+08:00,223
S117,Banyan Road,1.256,103.679,2025-10-17T15:15:00+08:00,220
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T15:15:00+08:00,241
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T15:15:00+08:00,140
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T15:15:00+08:00,228
S60,Sentosa,1.25,103.8279,2025-10-17T15:15:00+08:00,190
S50,Clementi Road,1.3337,103.7768,2025-10-17T15:15:00+08:00,144
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T15:15:00+08:00,275
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T15:15:00+08:00,60
S111,Scotts Road,1.31055,103.8365,2025-10-17T15:15:00+08:00,217
S06,Paya Lebar,1.3524,103.9007,2025-10-17T15:15:00+08:00,211
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T15:15:00+08:00,228
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T15:30:00+08:00,342
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T15:30:00+08:00,178
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T15:30:00+08:00,209
S117,Banyan Road,1.256,103.679,2025-10-17T15:30:00+08:00,224
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T15:30:00+08:00,211
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T15:30:00+08:00,148
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T15:30:00+08:00,226
S60,Sentosa,1.25,103.8279,2025-10-17T15:30:00+08:00,201
S50,Clementi Road,1.3337,103.7768,2025-10-17T15:30:00+08:00,144
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T15:30:00+08:00,298
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T15:30:00+08:00,183
S06,Paya Lebar,1.3524,103.9007,2025-10-17T15:30:00+08:00,156
S111,Scotts Road,1.31055,103.8365,2025-10-17T15:30:00+08:00,125
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T15:30:00+08:00,196
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T15:45:00+08:00,155
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T15:45:00+08:00,181
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T15:45:00+08:00,203
S117,Banyan Road,1.256,103.679,2025-10-17T15:45:00+08:00,237
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T15:45:00+08:00,174
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T15:45:00+08:00,147
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T15:45:00+08:00,227
S60,Sentosa,1.25,103.8279,2025-10-17T15:45:00+08:00,175
S50,Clementi Road,1.3337,103.7768,2025-10-17T15:45:00+08:00,167
